Date & Time,Subjectivity,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts,Words/Sentence
2009-01-10 14:00:00,0.183796296296,0.043981481481499995,6.0,0.0,0,38218,0.0,12.333333333299999
2009-01-10 19:00:00,0.18416666666700002,-0.0291666666667,10.0,0.1,1,4,0.0,16.9
2009-01-14 11:00:00,0.19375,-0.0302083333333,10.0,0.2,0,87,0.0,15.0
2009-01-17 20:00:00,0.320622222222,-0.0412333333333,8.333333333330001,0.24,0,80,0.0,14.56
2009-01-18 20:00:00,0.511111111111,0.159722222222,4.0,0.0,3,23,0.0,12.25
2009-01-20 08:00:00,0.34583333333300004,0.04583333333330001,8.0,0.25,0,35,0.0,12.0
2009-01-20 15:00:00,0.380555555556,0.0625,9.0,0.0,1,6,0.0,10.1111111111
2009-01-21 11:00:00,0.404924242424,0.05416666666669999,11.0,0.0,1,19,0.0,13.3636363636
2009-01-22 16:00:00,0.541666666667,0.19333333333299998,8.0,0.0,0,28,0.0,13.125
2009-01-26 13:00:00,0.09041666666670001,0.004305555555560001,9.0,0.33333333333299997,0,92,0.0,7.22222222222
2009-01-30 19:00:00,0.175,-0.00909090909091,11.0,0.45454545454499995,0,101,0.0,12.2727272727
2009-02-02 12:00:00,0.06666666666669999,0.0,3.0,0.33333333333299997,0,64,0.0,15.333333333299999
2009-02-02 15:00:00,0.214242424242,-0.0581818181818,11.0,0.0909090909091,1,2,0.0,10.0909090909
2009-02-03 14:00:00,0.383333333333,0.147619047619,7.0,0.28571428571400004,1,22,0.0,14.857142857100001
2009-02-05 18:00:00,0.3325,-0.12625,4.5,0.0,0,51,0.0,11.7
2009-02-06 13:00:00,0.332738095238,0.0934077380952,13.5,0.25,2,18,0.0,13.2857142857
2009-02-09 14:00:00,0.3,0.05,3.0,0.0,0,72,0.0,21.6666666667
2009-02-11 18:00:00,0.46666666666699996,0.391666666667,3.0,0.0,0,51,0.0,13.333333333299999
2009-02-12 15:00:00,0.311111111111,0.022222222222199998,3.0,0.0,1,20,0.0,5.666666666669999
2009-02-19 13:00:00,0.34,-0.04,5.0,0.0,0,165,0.0,8.8
2009-02-20 09:00:00,0.18964646464600002,0.022222222222199998,5.0,0.0909090909091,1,19,0.0,19.636363636400002
2009-02-25 13:00:00,0.283333333333,0.1,6.0,0.0,0,123,0.0,13.333333333299999
2009-02-26 09:00:00,0.3,-0.042857142857099996,7.0,0.28571428571400004,1,19,0.0,13.0
2009-02-27 14:00:00,0.416666666667,0.129166666667,3.0,0.0,0,28,0.0,22.3333333333
2009-03-02 20:00:00,0.05833333333330001,0.0125,6.0,0.0,0,77,0.0,12.166666666700001
2009-03-05 13:00:00,0.0,0.0,3.0,0.33333333333299997,0,64,0.0,10.0
2009-03-28 08:00:00,0.21666666666700002,0.00984848484848,11.0,0.0,0,546,0.0,11.4545454545
2009-04-16 21:00:00,0.0181818181818,0.0,11.0,0.0,0,468,0.0,7.72727272727
2009-04-21 12:00:00,0.39642857142899995,0.25,7.0,0.428571428571,0,110,0.0,5.28571428571
2009-06-02 14:00:00,0.106666666667,0.0033333333333300003,10.0,0.0,0,1009,0.0,12.1
2009-06-03 16:00:00,0.1,0.03,5.0,0.0,0,25,0.0,12.8
2009-06-18 08:00:00,0.233333333333,-0.133333333333,3.0,0.0,0,351,0.0,14.0
2009-06-23 13:00:00,0.294074074074,-0.115740740741,9.0,0.0,0,124,0.0,9.666666666669999
2009-07-14 21:00:00,0.45,0.3289375,4.0,0.0,0,511,0.0,13.25
2009-11-04 10:00:00,0.583333333333,0.0416666666667,2.0,0.0,0,2700,0.0,31.0
2010-10-19 09:00:00,0.247619047619,0.10952380952400001,7.0,0.0,0,8374,0.0,17.428571428599998
2013-02-21 21:00:00,0.21666666666700002,0.166666666667,6.0,0.33333333333299997,0,20555,1.0,17.1666666667
