Date & Time,Words/Sentence,Subjectivity,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts
2005-12-02 16:00:00,18.2222222222,0.34629629629600006,-0.0268518518519,9.0,0.0,0,10980,0.0
2005-12-06 20:00:00,13.0,0.383976608187,0.125233918129,9.5,0.263157894737,0,99,0.5
2005-12-15 16:00:00,13.333333333299999,0.42997685185199996,0.250671296296,12.0,0.0,0,211,0.0
2005-12-16 16:00:00,16.0769230769,0.298076923077,0.046474358974400005,13.0,0.0769230769231,1,23,0.0
2006-01-04 20:00:00,10.142857142899999,0.321428571429,-0.044285714285699995,7.0,0.28571428571400004,0,459,0.0
2006-01-04 21:00:00,17.3076923077,0.526730769231,0.135384615385,13.0,0.0,1,0,0.0
2006-01-05 10:00:00,5.466666666669999,0.06888888888889999,0.0155555555556,15.0,0.0,2,12,0.0
2006-01-05 16:00:00,16.6666666667,0.388888888889,0.20868055555599999,6.0,0.166666666667,3,5,0.0
2006-01-11 16:00:00,19.8,0.702777777778,0.118222222222,5.0,0.0,0,143,0.0
2006-01-16 10:00:00,14.333333333299999,0.434027777778,0.141666666667,12.0,0.0,0,113,0.0
2006-02-13 21:00:00,16.636363636400002,0.571704545455,-0.0439772727273,22.0,0.0454545454545,0,682,0.0
2006-02-16 13:00:00,20.9375,0.591909722222,0.174288194444,16.0,0.0,0,63,0.0
2006-02-16 14:00:00,13.0,0.08,-0.01,5.0,0.2,1,0,0.0
2006-02-17 08:00:00,23.25,0.433444444444,0.0997222222222,8.0,0.0,2,17,0.0
2006-02-26 18:00:00,14.4117647059,0.26610294117600003,0.0974632352941,8.5,0.176470588235,0,225,0.0
2006-03-02 11:00:00,14.0,0.331944444444,-0.020833333333299998,6.0,0.0,0,88,0.0
2006-03-13 09:00:00,11.4545454545,0.34909090909100005,-0.0218181818182,11.0,0.0,0,261,0.0
2006-03-21 14:00:00,13.333333333299999,0.0,0.0,3.0,0.0,0,196,0.0
2006-03-30 11:00:00,15.75,0.233333333333,0.022916666666700003,4.0,0.0,0,212,0.0
2006-05-02 17:00:00,14.0,0.440476190476,0.197738095238,7.0,0.0,0,797,0.0
2006-05-09 22:00:00,13.666666666700001,0.431944444444,0.169444444444,6.0,0.08333333333330001,0,172,0.0
2006-05-19 18:00:00,18.6153846154,0.45,0.09410256410260001,13.0,0.0,0,235,0.0
2006-06-11 17:00:00,16.625,0.365590277778,0.128211805556,8.0,0.0,0,550,0.0
2006-06-29 22:00:00,13.9411764706,0.250490196078,-0.0144607843137,8.5,0.0,0,436,0.0
2006-07-11 20:00:00,15.666666666700001,0.58262037037,0.166657407407,9.0,0.0,0,285,0.0
2007-03-08 16:00:00,18.6666666667,0.731944444444,0.103055555556,6.0,0.0,0,5755,0.0
2007-04-05 20:00:00,24.4166666667,0.5858680555560001,0.122083333333,12.0,0.0,0,675,0.0
2007-04-06 11:00:00,21.428571428599998,0.451984126984,0.0464533730159,7.0,0.0,1,14,0.0
2007-04-06 17:00:00,16.9,0.613055555556,0.308027777778,10.0,0.0,2,5,0.0
