Date & Time,Sentences,Over past 30 days
2006-12-07 04:00:00,0.0,0.0
2006-12-08 04:00:00,0.0,0.0
2006-12-09 04:00:00,0.0,0.0
2006-12-10 04:00:00,0.0,0.0
2006-12-11 04:00:00,0.0,0.0
2006-12-12 04:00:00,0.0,0.0
2006-12-13 04:00:00,0.0,0.0
2006-12-14 04:00:00,0.0,0.0
2006-12-15 04:00:00,0.0,0.0
2006-12-16 04:00:00,0.0,0.0
2006-12-17 04:00:00,0.0,0.0
2006-12-18 04:00:00,0.0,0.0
2006-12-19 04:00:00,0.0,0.0
2006-12-20 04:00:00,0.0,0.0
2006-12-21 04:00:00,0.0,0.0
2006-12-22 04:00:00,0.0,0.0
2006-12-23 04:00:00,0.0,0.0
2006-12-24 04:00:00,0.0,0.0
2006-12-25 04:00:00,0.0,0.0
2006-12-26 04:00:00,0.0,0.0
2006-12-27 04:00:00,0.0,0.0
2006-12-28 04:00:00,0.0,0.0
2006-12-29 04:00:00,0.0,0.0
2006-12-30 04:00:00,0.0,0.0
2006-12-31 04:00:00,0.0,0.0
2007-01-01 04:00:00,0.0,0.0
2007-01-02 04:00:00,0.0,0.0
2007-01-03 04:00:00,0.0,0.0
2007-01-04 04:00:00,0.0,0.0
2007-01-05 04:00:00,0.0,0.0
2007-01-06 04:00:00,0.0,0.0
2007-01-07 04:00:00,0.0,0.0
2007-01-08 04:00:00,0.0,0.0
2007-01-09 04:00:00,6.0,6.0
2007-01-10 04:00:00,0.0,6.0
2007-01-11 04:00:00,0.0,6.0
2007-01-12 04:00:00,0.0,6.0
2007-01-13 04:00:00,0.0,6.0
2007-01-14 04:00:00,0.0,6.0
2007-01-15 04:00:00,0.0,6.0
2007-01-16 04:00:00,0.0,6.0
2007-01-17 04:00:00,0.0,6.0
2007-01-18 04:00:00,0.0,6.0
2007-01-19 04:00:00,0.0,6.0
2007-01-20 04:00:00,0.0,6.0
2007-01-21 04:00:00,0.0,6.0
2007-01-22 04:00:00,0.0,6.0
2007-01-23 04:00:00,0.0,6.0
2007-01-24 04:00:00,0.0,6.0
2007-01-25 04:00:00,0.0,6.0
2007-01-26 04:00:00,0.0,6.0
2007-01-27 04:00:00,2.0,8.0
2007-01-28 04:00:00,0.0,8.0
2007-01-29 04:00:00,3.0,11.0
2007-01-30 04:00:00,0.0,11.0
2007-01-31 04:00:00,0.0,11.0
2007-02-01 04:00:00,0.0,11.0
2007-02-02 04:00:00,0.0,11.0
2007-02-03 04:00:00,0.0,11.0
2007-02-04 04:00:00,0.0,11.0
2007-02-05 04:00:00,0.0,11.0
2007-02-06 04:00:00,0.0,11.0
2007-02-07 04:00:00,0.0,11.0
2007-02-08 04:00:00,0.0,11.0
2007-02-09 04:00:00,0.0,5.0
2007-02-10 04:00:00,0.0,5.0
2007-02-11 04:00:00,0.0,5.0
2007-02-12 04:00:00,0.0,5.0
2007-02-13 04:00:00,0.0,5.0
2007-02-14 04:00:00,0.0,5.0
2007-02-15 04:00:00,0.0,5.0
2007-02-16 04:00:00,0.0,5.0
2007-02-17 04:00:00,0.0,5.0
2007-02-18 04:00:00,0.0,5.0
2007-02-19 04:00:00,0.0,5.0
2007-02-20 04:00:00,0.0,5.0
2007-02-21 04:00:00,0.0,5.0
2007-02-22 04:00:00,0.0,5.0
2007-02-23 04:00:00,0.0,5.0
2007-02-24 04:00:00,0.0,5.0
2007-02-25 04:00:00,0.0,5.0
2007-02-26 04:00:00,0.0,5.0
2007-02-27 04:00:00,0.0,3.0
2007-02-28 04:00:00,0.0,3.0
2007-03-01 04:00:00,0.0,0.0
2007-03-02 04:00:00,0.0,0.0
2007-03-03 04:00:00,0.0,0.0
2007-03-04 04:00:00,0.0,0.0
2007-03-05 04:00:00,0.0,0.0
2007-03-06 04:00:00,0.0,0.0
2007-03-07 04:00:00,0.0,0.0
2007-03-08 04:00:00,0.0,0.0
2007-03-09 04:00:00,0.0,0.0
2007-03-10 04:00:00,0.0,0.0
2007-03-11 04:00:00,0.0,0.0
2007-03-12 04:00:00,0.0,0.0
2007-03-13 04:00:00,0.0,0.0
2007-03-14 04:00:00,0.0,0.0
2007-03-15 04:00:00,0.0,0.0
2007-03-16 04:00:00,1.0,1.0
2007-03-17 04:00:00,0.0,1.0
2007-03-18 04:00:00,0.0,1.0
2007-03-19 04:00:00,0.0,1.0
2007-03-20 04:00:00,0.0,1.0
2007-03-21 04:00:00,0.0,1.0
2007-03-22 04:00:00,0.0,1.0
2007-03-23 04:00:00,0.0,1.0
2007-03-24 04:00:00,0.0,1.0
2007-03-25 04:00:00,0.0,1.0
2007-03-26 04:00:00,0.0,1.0
2007-03-27 04:00:00,0.0,1.0
2007-03-28 04:00:00,0.0,1.0
2007-03-29 04:00:00,0.0,1.0
2007-03-30 04:00:00,0.0,1.0
2007-03-31 04:00:00,0.0,1.0
2007-04-01 04:00:00,0.0,1.0
2007-04-02 04:00:00,0.0,1.0
2007-04-03 04:00:00,0.0,1.0
2007-04-04 04:00:00,0.0,1.0
2007-04-05 04:00:00,0.0,1.0
2007-04-06 04:00:00,0.0,1.0
2007-04-07 04:00:00,0.0,1.0
2007-04-08 04:00:00,0.0,1.0
2007-04-09 04:00:00,0.0,1.0
2007-04-10 04:00:00,0.0,1.0
2007-04-11 04:00:00,0.0,1.0
2007-04-12 04:00:00,0.0,1.0
2007-04-13 04:00:00,0.0,1.0
2007-04-14 04:00:00,0.0,1.0
2007-04-15 04:00:00,0.0,1.0
2007-04-16 04:00:00,0.0,0.0
2007-04-17 04:00:00,0.0,0.0
2007-04-18 04:00:00,0.0,0.0
2007-04-19 04:00:00,0.0,0.0
2007-04-20 04:00:00,0.0,0.0
2007-04-21 04:00:00,0.0,0.0
2007-04-22 04:00:00,0.0,0.0
2007-04-23 04:00:00,0.0,0.0
2007-04-24 04:00:00,0.0,0.0
2007-04-25 04:00:00,0.0,0.0
2007-04-26 04:00:00,0.0,0.0
2007-04-27 04:00:00,0.0,0.0
2007-04-28 04:00:00,0.0,0.0
2007-04-29 04:00:00,0.0,0.0
2007-04-30 04:00:00,0.0,0.0
2007-05-01 04:00:00,0.0,0.0
2007-05-02 04:00:00,0.0,0.0
2007-05-03 04:00:00,0.0,0.0
2007-05-04 04:00:00,0.0,0.0
2007-05-05 04:00:00,0.0,0.0
2007-05-06 04:00:00,0.0,0.0
2007-05-07 04:00:00,0.0,0.0
2007-05-08 04:00:00,0.0,0.0
2007-05-09 04:00:00,0.0,0.0
2007-05-10 04:00:00,0.0,0.0
2007-05-11 04:00:00,0.0,0.0
2007-05-12 04:00:00,0.0,0.0
2007-05-13 04:00:00,0.0,0.0
2007-05-14 04:00:00,0.0,0.0
2007-05-15 04:00:00,0.0,0.0
2007-05-16 04:00:00,0.0,0.0
2007-05-17 04:00:00,0.0,0.0
2007-05-18 04:00:00,0.0,0.0
2007-05-19 04:00:00,0.0,0.0
2007-05-20 04:00:00,0.0,0.0
2007-05-21 04:00:00,0.0,0.0
2007-05-22 04:00:00,0.0,0.0
2007-05-23 04:00:00,0.0,0.0
2007-05-24 04:00:00,0.0,0.0
2007-05-25 04:00:00,3.0,3.0
2007-05-26 04:00:00,0.0,3.0
2007-05-27 04:00:00,0.0,3.0
2007-05-28 04:00:00,0.0,3.0
2007-05-29 04:00:00,0.0,3.0
2007-05-30 04:00:00,0.0,3.0
2007-05-31 04:00:00,0.0,3.0
2007-06-01 04:00:00,0.0,3.0
2007-06-02 04:00:00,0.0,3.0
2007-06-03 04:00:00,0.0,3.0
2007-06-04 04:00:00,0.0,3.0
2007-06-05 04:00:00,0.0,3.0
