Date & Time,Sentences,Over past 30 days
2016-07-13 04:00:00,11.0,11.0
2016-07-14 04:00:00,8.0,19.0
2016-07-15 04:00:00,4.0,23.0
2016-07-16 04:00:00,0.0,23.0
2016-07-17 04:00:00,2.0,25.0
2016-07-18 04:00:00,2.5,27.5
2016-07-19 04:00:00,0.0,27.5
2016-07-20 04:00:00,0.0,27.5
2016-07-21 04:00:00,0.0,27.5
2016-07-22 04:00:00,0.0,27.5
2016-07-23 04:00:00,0.0,27.5
2016-07-24 04:00:00,0.0,27.5
2016-07-25 04:00:00,0.0,27.5
2016-07-26 04:00:00,0.0,27.5
2016-07-27 04:00:00,0.0,27.5
2016-07-28 04:00:00,8.0,35.5
2016-07-29 04:00:00,0.0,35.5
2016-07-30 04:00:00,0.0,35.5
2016-07-31 04:00:00,0.0,35.5
2016-08-01 04:00:00,10.0,45.5
2016-08-02 04:00:00,0.0,45.5
2016-08-03 04:00:00,0.0,45.5
2016-08-04 04:00:00,8.0,53.5
2016-08-05 04:00:00,0.0,53.5
2016-08-06 04:00:00,0.0,53.5
2016-08-07 04:00:00,3.0,56.5
2016-08-08 04:00:00,4.5,61.0
2016-08-09 04:00:00,6.0,67.0
2016-08-10 04:00:00,0.0,67.0
2016-08-11 04:00:00,0.0,67.0
2016-08-12 04:00:00,0.0,67.0
2016-08-13 04:00:00,10.0,66.0
2016-08-14 04:00:00,0.0,58.0
2016-08-15 04:00:00,0.0,54.0
2016-08-16 04:00:00,3.0,57.0
2016-08-17 04:00:00,4.0,59.0
2016-08-18 04:00:00,2.0,58.5
2016-08-19 04:00:00,2.25,60.75
2016-08-20 04:00:00,1.0,61.75
2016-08-21 04:00:00,0.0,61.75
2016-08-22 04:00:00,0.0,61.75
2016-08-23 04:00:00,0.0,61.75
2016-08-24 04:00:00,0.0,61.75
2016-08-25 04:00:00,8.0,69.75
2016-08-26 04:00:00,0.0,69.75
2016-08-27 04:00:00,0.0,69.75
2016-08-28 04:00:00,0.0,61.75
2016-08-29 04:00:00,0.0,61.75
2016-08-30 04:00:00,3.0,64.75
2016-08-31 04:00:00,4.0,68.75
2016-09-01 04:00:00,13.0,71.75
2016-09-02 04:00:00,0.0,71.75
2016-09-03 04:00:00,3.0,74.75
2016-09-04 04:00:00,6.0,72.75
2016-09-05 04:00:00,0.0,72.75
2016-09-06 04:00:00,12.0,84.75
2016-09-07 04:00:00,0.0,81.75
2016-09-08 04:00:00,0.0,77.25
2016-09-09 04:00:00,0.0,71.25
2016-09-10 04:00:00,0.0,71.25
2016-09-11 04:00:00,0.0,71.25
2016-09-12 04:00:00,0.0,71.25
2016-09-13 04:00:00,0.0,61.25
2016-09-14 04:00:00,0.0,61.25
2016-09-15 04:00:00,0.0,61.25
2016-09-16 04:00:00,0.0,58.25
2016-09-17 04:00:00,0.0,54.25
2016-09-18 04:00:00,0.0,52.25
2016-09-19 04:00:00,0.0,50.0
2016-09-20 04:00:00,0.0,49.0
2016-09-21 04:00:00,0.0,49.0
2016-09-22 04:00:00,0.0,49.0
2016-09-23 04:00:00,0.0,49.0
2016-09-24 04:00:00,0.0,49.0
2016-09-25 04:00:00,0.0,41.0
2016-09-26 04:00:00,0.0,41.0
2016-09-27 04:00:00,0.0,41.0
2016-09-28 04:00:00,0.0,41.0
2016-09-29 04:00:00,0.0,41.0
2016-09-30 04:00:00,0.0,38.0
2016-10-01 04:00:00,0.0,21.0
2016-10-02 04:00:00,0.0,21.0
2016-10-03 04:00:00,0.0,18.0
2016-10-04 04:00:00,0.0,12.0
2016-10-05 04:00:00,0.0,12.0
2016-10-06 04:00:00,0.0,0.0
2016-10-07 04:00:00,0.0,0.0
2016-10-08 04:00:00,0.0,0.0
2016-10-09 04:00:00,0.0,0.0
2016-10-10 04:00:00,0.0,0.0
2016-10-11 04:00:00,0.0,0.0
2016-10-12 04:00:00,0.0,0.0
2016-10-13 04:00:00,0.0,0.0
2016-10-14 04:00:00,0.0,0.0
2016-10-15 04:00:00,0.0,0.0
2016-10-16 04:00:00,0.0,0.0
2016-10-17 04:00:00,0.0,0.0
2016-10-18 04:00:00,0.0,0.0
2016-10-19 04:00:00,0.0,0.0
2016-10-20 04:00:00,0.0,0.0
2016-10-21 04:00:00,0.0,0.0
2016-10-22 04:00:00,0.0,0.0
2016-10-23 04:00:00,0.0,0.0
2016-10-24 04:00:00,0.0,0.0
2016-10-25 04:00:00,0.0,0.0
2016-10-26 04:00:00,0.0,0.0
2016-10-27 04:00:00,0.0,0.0
2016-10-28 04:00:00,0.0,0.0
2016-10-29 04:00:00,0.0,0.0
2016-10-30 04:00:00,0.0,0.0
2016-10-31 04:00:00,0.0,0.0
2016-11-01 04:00:00,0.0,0.0
2016-11-02 04:00:00,0.0,0.0
2016-11-03 04:00:00,0.0,0.0
2016-11-04 04:00:00,0.0,0.0
2016-11-05 04:00:00,0.0,0.0
2016-11-06 04:00:00,0.0,0.0
2016-11-07 04:00:00,0.0,0.0
2016-11-08 04:00:00,0.0,0.0
2016-11-09 04:00:00,0.0,0.0
2016-11-10 04:00:00,0.0,0.0
2016-11-11 04:00:00,0.0,0.0
2016-11-12 04:00:00,0.0,0.0
2016-11-13 04:00:00,0.0,0.0
2016-11-14 04:00:00,0.0,0.0
2016-11-15 04:00:00,0.0,0.0
2016-11-16 04:00:00,0.0,0.0
2016-11-17 04:00:00,0.0,0.0
2016-11-18 04:00:00,0.0,0.0
2016-11-19 04:00:00,0.0,0.0
2016-11-20 04:00:00,0.0,0.0
2016-11-21 04:00:00,0.0,0.0
2016-11-22 04:00:00,0.0,0.0
2016-11-23 04:00:00,0.0,0.0
2016-11-24 04:00:00,0.0,0.0
2016-11-25 04:00:00,0.0,0.0
2016-11-26 04:00:00,0.0,0.0
2016-11-27 04:00:00,0.0,0.0
2016-11-28 04:00:00,0.0,0.0
2016-11-29 04:00:00,0.0,0.0
2016-11-30 04:00:00,9.0,9.0
2016-12-01 04:00:00,4.0,13.0
2016-12-02 04:00:00,0.0,13.0
2016-12-03 04:00:00,0.0,13.0
2016-12-04 04:00:00,0.0,13.0
2016-12-05 04:00:00,0.0,13.0
2016-12-06 04:00:00,0.0,13.0
2016-12-07 04:00:00,0.0,13.0
2016-12-08 04:00:00,0.0,13.0
2016-12-09 04:00:00,0.0,13.0
2016-12-10 04:00:00,0.0,13.0
2016-12-11 04:00:00,0.0,13.0
2016-12-12 04:00:00,0.0,13.0
2016-12-13 04:00:00,0.0,13.0
2016-12-14 04:00:00,0.0,13.0
2016-12-15 04:00:00,0.0,13.0
2016-12-16 04:00:00,0.0,13.0
2016-12-17 04:00:00,0.0,13.0
2016-12-18 04:00:00,0.0,13.0
2016-12-19 04:00:00,0.0,13.0
2016-12-20 04:00:00,0.0,13.0
2016-12-21 04:00:00,0.0,13.0
2016-12-22 04:00:00,0.0,13.0
2016-12-23 04:00:00,0.0,13.0
2016-12-24 04:00:00,0.0,13.0
2016-12-25 04:00:00,0.0,13.0
2016-12-26 04:00:00,0.0,13.0
2016-12-27 04:00:00,0.0,13.0
2016-12-28 04:00:00,0.0,13.0
2016-12-29 04:00:00,0.0,13.0
2016-12-30 04:00:00,0.0,4.0
2016-12-31 04:00:00,0.0,4.0
2017-01-01 04:00:00,0.0,0.0
2017-01-02 04:00:00,0.0,0.0
2017-01-03 04:00:00,0.0,0.0
2017-01-04 04:00:00,0.0,0.0
2017-01-05 04:00:00,0.0,0.0
2017-01-06 04:00:00,0.0,0.0
2017-01-07 04:00:00,0.0,0.0
2017-01-08 04:00:00,0.0,0.0
2017-01-09 04:00:00,0.0,0.0
2017-01-10 04:00:00,0.0,0.0
2017-01-11 04:00:00,0.0,0.0
2017-01-12 04:00:00,0.0,0.0
2017-01-13 04:00:00,0.0,0.0
2017-01-14 04:00:00,0.0,0.0
2017-01-15 04:00:00,0.0,0.0
2017-01-16 04:00:00,0.0,0.0
2017-01-17 04:00:00,0.0,0.0
2017-01-18 04:00:00,0.0,0.0
2017-01-19 04:00:00,0.0,0.0
2017-01-20 04:00:00,0.0,0.0
2017-01-21 04:00:00,0.0,0.0
2017-01-22 04:00:00,0.0,0.0
2017-01-23 04:00:00,0.0,0.0
2017-01-24 04:00:00,0.0,0.0
2017-01-25 04:00:00,0.0,0.0
2017-01-26 04:00:00,0.0,0.0
2017-01-27 04:00:00,0.0,0.0
2017-01-28 04:00:00,0.0,0.0
2017-01-29 04:00:00,0.0,0.0
2017-01-30 04:00:00,0.0,0.0
2017-01-31 04:00:00,0.0,0.0
2017-02-01 04:00:00,0.0,0.0
2017-02-02 04:00:00,0.0,0.0
2017-02-03 04:00:00,0.0,0.0
2017-02-04 04:00:00,0.0,0.0
2017-02-05 04:00:00,0.0,0.0
2017-02-06 04:00:00,0.0,0.0
2017-02-07 04:00:00,0.0,0.0
2017-02-08 04:00:00,0.0,0.0
2017-02-09 04:00:00,0.0,0.0
